Theme,Year,Citation,Link,Data,Code,Themes,,,,,,,,,,,,,,,,,,,
4,2023,"Gill AL, et al. Soil carbon availability decouples net nitrogen mineralization and net nitrification across United States Long Term Ecological Research sites. Biogeochemistry 162:13–24.",https://doi.org/10.1007/s10533-022-01011-w,[Github](https://github.com/gill20a/LTER_MicrobialNComp),[Github](https://github.com/gill20a/LTER_MicrobialNComp),5,,,,,,,,,,,,,,,,,,,
1,2023,"Stefanini C, et al. A novel synthesis of marker-based studies on European beech across the species range reveals decreasing genetic diversity from glacial refugia. Tree Genetics and Genomes 19:3.",https://doi.org/10.1007/s11295-022-01577-4,[Supplementary Data](https://link.springer.com/article/10.1007/s11295-022-01577-4#Sec18),[Supplementary Data](https://link.springer.com/article/10.1007/s11295-022-01577-4#Sec18),,,,,,,,,,,,,,,,,,,,
4,2024,"Depauw L, et al. Enhancing Tree Performance Through Species Mixing: Review of a Quarter-Century of TreeDivNet Experiments Reveals Research Gaps and Practical Insights. Current Forestry Reports 10 (1): 1–20.",https://doi.org/10.1007/s40725-023-00208-y,[Appendix](https://doi.org/10.1007/s40725-023-00208-y),,,,,,,,,,,,,,,,,,,,,
3,2022,"Schuster MJ, et al. Using plants to control buckthorn (Rhamnus cathartica): Improved biotic resistance of forests through revegetation. Ecological Engineering 182: 106730.",https://doi.org/10.1016/j.ecoleng.2022.106730,[Dryad](https://doi.org/10.5061/dryad.573n5tb9w),,4,,,,,,,,,,,,,,,,,,,
3,2024,"Berman LM, et al. Fractional Richness: An index for camera trap networks. Ecological Indicators, 166, p.112266.",https://doi.org/10.1016/j.ecolind.2024.112266,,[Github](https://github.com/EnSpec/Fractional-Richness),,,,,,,,,,,,,,,,,,,,
1,2023,"Liu N, et al. Multi-year hyperspectral remote sensing of a comprehensive set of crop foliar nutrients in cranberries. ISPRS Journal of Photogrammetry and Remote Sensing 205:135–146.",https://doi.org/10.1016/j.isprsjprs.2023.10.003,,,,,,,,,,,,,,,,,,,,,,
5,2024,"Mori AS, et al. Urgent Climate Action Is Needed to Ensure Effectiveness of Protected Areas for Biodiversity Benefits. One Earth 7 (10): 1874–85.",https://doi.org/10.1016/j.oneear.2024.08.003,[Zenodo](https://doi.org/10.5281/zenodo.10818449),[Github](https://github.com/AkiraSMori/BiodProd-ProtectArea/releases/tag/BiodProd-ProtectArea),,,,,,,,,,,,,,,,,,,,
1,2023,"Czyż EA, et al. Genetic constraints on temporal variation of airborne reflectance spectra and their uncertainties over a temperate forest. Remote Sensing of Environment 284:113338
",https://doi.org/10.1016/j.rse.2022.113338,[Dryad](https://doi.org/10.5061/dryad.vdncjsxzk),[Dryad](https://doi.org/10.5061/dryad.vdncjsxzk),,,,,,,,,,,,,,,,,,,,
4,2023,"Zheng Z, et al. Remotely sensed functional diversity and its association with productivity in a subtropical forest. Remote Sensing of Environment. 290:113530",https://doi.org/10.1016/j.rse.2023.113530,Data upon request,,,,,,,,,,,,,,,,,,,,,
5,2023,"Cherif E, et al. From spectra to plant functional traits: Transferable multi-trait models from heterogeneous and sparse data. Remote Sensing of Environment 292: 113580.",https://doi.org/10.1016/j.rse.2023.113580,[GitLab](https://gitlab.com/eya95/multi-traitretrieval),[GitLab](https://gitlab.com/eya95/multi-traitretrieval),,,,,,,,,,,,,,,,,,,,
5,2023,"Wang Z, et al. Generality of leaf spectroscopic models for predicting key foliar functional traits across continents: A comparison between physically- and empirically-based approaches. Remote Sensing of Environment 293:113614.",https://doi.org/10.1016/j.rse.2023.113614,[EcoSML](https://ecosml.org/package/github/EnSpec/leaf-spectroscopic-models-for-predicting-key-foliar-functional-traits-across-continents),,,,,,,,,,,,,,,,,,,,,
5,2023,"Guzman JA, et al. Mapping oak wilt disease from space using land surface phenology. Remote Sensing of Environment 298: 113794.",https://doi.org/10.1016/j.rse.2023.113794,[Dryad](https://doi.org/10.5061/dryad.gtht76hs8):&:[Globus](https://app.globus.org/file-manager?origin_id=d5f9b461-7d6e-442b-87ed-be8aa2ca6763&amp;origin_path=%2F):&:[Globus](https://app.globus.org/file-manager?origin_id=2ad70821-cc5a-424e-aa72-8553d2bb45eb&amp;origin_path=%2F),[Github](https://github.com/ASCEND-BII/Oak-wilt_disease),,,,,,,,,,,,,,,,,,,,
2,2024,"Liu S, et al. Spectra-phenology integration for high-resolution, accurate, and scalable mapping of foliar functional traits using time-series Sentinel-2 data. Remote Sensing of Environment 305: 114082.",https://doi.org/10.1016/j.rse.2024.114082,Data upon request,,,,,,,,,,,,,,,,,,,,,
3,2024,"Liu S, et al. Spectra-phenology integration for high-resolution, accurate, and scalable mapping of foliar functional traits using time-series Sentinel-2 data. Remote Sensing of Environment 305:114082.",https://doi.org/10.1016/j.rse.2024.114082,Data upon request,,,,,,,,,,,,,,,,,,,,,
5,2024,"Dechant BJ, et al. Intercomparison of global foliar trait maps reveals fundamental differences and limitations of upscaling approaches. Remote Sensing of Environment 311:114276.",https://doi.org/10.1016/j.rse.2024.114276,,[Github](https://github.com/fmsabatini/sTraits_GlobalIntercomparison),,,,,,,,,,,,,,,,,,,,
5,2022,"Mirabel A, et al. New tree-ring data from Canadian boreal and hemi-boreal forests provide insight for improving the climate sensitivity of terrestrial biosphere models. Science of The Total Environment 851(2): 158062.",https://doi.org/10.1016/j.scitotenv.2022.158062,Data upon request,,,,,,,,,,,,,,,,,,,,,
3,2023,"Desie E, et al. Disentangling drivers of litter decomposition in a multi-continent network of tree diversity experiments. Science of The Total Environment, 857:159717.",https://doi.org/10.1016/j.scitotenv.2022.159717,Data upon request,,,,,,,,,,,,,,,,,,,,,
3,2025,"Jayaramaiah RH, et al. Soil Function-Microbial Diversity Relationship Is Impacted by Plant Functional Groups under Climate Change. Soil Biology and Biochemistry 200 (January):109623.",https://doi.org/10.1016/j.soilbio.2024.109623,[Supplementary Data](https://doi.org/10.1016/j.soilbio.2024.109623),,,,,,,,,,,,,,,,,,,,,
2,2024,"Ogutcen E., et al. Phylogenetic insights into the Salicaceae: The evolution of willows and beyond,
Molecular Phylogenetics and Evolution 199:108161.",https://doi.org/10.1016/j.ympev.2024.108161,[NCBI](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1082499/),,,,,,,,,,,,,,,,,,,,,
5,2020,"Butler, E.E., et al. Seeing the canopy for the branches: Improved within canopy scaling of leaf nitrogen. Journal of Advances in Modeling Earth Systems 12:p.e2020MS002237.",https://doi.org/10.1029/2020MS002237,[Zenodo](https://zenodo.org/record/3934661),[Zenodo](https://zenodo.org/record/3934661),,,,,,,,,,,,,,,,,,,,
5,2022,"Butler EE, et al. Increasing functional diversity in a global land surface model illustrates uncertainties related to parameter simplification. Journal of Geophysical Research: Biogeosciences 127:e2021JG006606.",https://doi.org/10.1029/2021JG006606,[Zenodo](https://zenodo.org/record/6127506),[Zenodo](https://zenodo.org/record/6127506),,,,,,,,,,,,,,,,,,,,
5,2025,"Ren Y, et al. Incorporating the acclimation of photosynthesis and leaf respiration in the Noah-MP land surface model: Model development and evaluation. Journal of Advances in Modeling Earth Systems 17(3): e2024MS004599.",https://doi.org/10.1029/2024MS004599,[Zenodo](https://doi.org/10.5281/zenodo.14674455),,,,,,,,,,,,,,,,,,,,,
4,2022,"Ellsworth DS, et al. Convergence in phosphorus constraints to photosynthesis in forests around the world. Nature Communications 13, 5005",https://doi.org/10.1038/s41467-022-32545-0,[Figshare](https://doi.org/10.6084/m9.figshare.20010485.v1),[Zenodo](https://doi.org/10.5281/zenodo.6619615),5,,,,,,,,,,,,,,,,,,,
4,2023,"Dusenge ME, et al. Boreal conifers maintain carbon uptake with warming despite failure to track optimal temperatures. Nature Communications 14, 4667.",https://doi.org/10.1038/s41467-023-40248-3,[Figshare](https://doi.org/10.6084/m9.figshare.22645030):&:[SPRUCE](https://doi.org/10.25581/spruce.056/1455138),[Figshare](https://doi.org/10.6084/m9.figshare.22645030),,,,,,,,,,,,,,,,,,,,
4,2024,"Zheng L, et al. Effects of Plant Diversity on Productivity Strengthen over Time Due to Trait-Dependent Shifts in Species Overyielding. Nature Communications 15(1): 2078.",https://doi.org/10.1038/s41467-024-46355-z,[Figshare](https://doi.org/10.6084/m9.figshare.25148690),,,,,,,,,,,,,,,,,,,,,
4,2024,"Zheng L, et al. Effects of plant diversity on productivity strengthen over time due to trait-dependent shifts in species overyielding. Nature Communications 15(1):2078.",https://doi.org/10.1038/s41467-024-46355-z,[Figshare](https://doi.org/10.6084/m9.figshare.25148690),[Code available in Supplementary Data](https://doi.org/10.1038/s41467-024-46355-z),,,,,,,,,,,,,,,,,,,,
4,2024,"Chen X, et al. Resource Availability Enhances Positive Tree Functional Diversity Effects on Carbon and Nitrogen Accrual in Natural Forests. Nature Communications 15(1):8615.",https://doi.org/10.1038/s41467-024-53004-y.,[Figshare](https://doi.org/10.6084/m9.figshare.25037213),[Figshare](https://doi.org/10.6084/m9.figshare.25037213),,,,,,,,,,,,,,,,,,,,
3,2024,"Wang M, et al. Molecular-Level Carbon Traits Underlie the Multidimensional Fine Root Economics Space. Nature Plants 10 (6): 901–9.",https://doi.org/10.1038/s41477-024-01700-4,[Figshare](https://doi.org/10.6084/m9.figshare.24218970),[Figshare](https://doi.org/10.6084/m9.figshare.24218970),,,,,,,,,,,,,,,,,,,,
3,2021,"Mori AS, et al. Biodiversity-productivity relationships are key to nature-based climate solutions. Nature Climate Change 11: 543- 550.",https://doi.org/10.1038/s41558-021-01062-1,[Dryad](https://doi.org/10.5061/dryad.vq83bk3s2),,,,,,,,,,,,,,,,,,,,,
4,2023,"Pellegrini AFA, et al. Soil carbon storage capacity of drylands under altered fire regimes. Nature Climate Change 13, 1089-1094.",https://doi.org/10.1038/s41558-023-01800-7,[Figshare](https://doi.org/10.6084/m9.figshare.23899530),[Figshare](https://doi.org/10.6084/m9.figshare.23899530),,,,,,,,,,,,,,,,,,,,
3,2021,"Williams LJ, et al. Remote spectral detection of biodiversity effects on forest biomass. Nature Ecology & Evolution 5: 46- 54.",https://doi.org/10.1038/s41559-020-01329-4,[Data Repository of UMN](https://doi.org/10.13020/s7pf-am91),[UMN Data Repository](https://doi.org/10.13020/s7pf-am91),,,,,,,,,,,,,,,,,,,,
3,2021,"Pellegrini AFA, et al. Decadal changes in fire frequencies shift tree communities and functional traits. Nature Ecology and Evolution 5: 504-512.",https://doi.org/10.1038/s41559-021-01401-7,[Wood density](https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.234):&:[Supporting information](https://onlinelibrary-wiley-com.ezp1.lib.umn.edu/action/downloadSupplement?doi=10.1111%2Fj.1365-2486.2011.02401.x&file=GCB_2401_sm_supplinfo.doc):&:[Jstor](https://www-jstor-org.ezp3.lib.umn.edu/stable/4216600?sid=primo&seq=2#metadata_info_tab_contents):&:[Plant Tissue Stoichiometry & Mycorrhizal data](https://www.pnas.org/doi/full/10.1073/pnas.1906655116#data-availability):&:[Supplementary Data](https://static-content.springer.com/esm/art%3A10.1038%2Fs41559-021-01401-7/MediaObjects/41559_2021_1401_MOESM3_ESM.xlsx),,,,,,,,,,,,,,,,,,,,,
2,2021,"Laughlin DC, et al. Root traits explain plant species distributions along climatic gradients yet challenge the nature of ecological trade-offs. Nature Ecology & Evolution 5: 1123-1134.",https://doi.org/10.1038/s41559-021-01471-7,[iDiv](https://doi.org/10.25829/idiv.3475-8-2316),[iDIV](https://doi.org/10.25829/idiv.3475-8-2316),3,,,,,,,,,,,,,,,,,,,
2,2022,"Joswig, J.S., et al. Climatic and soil factors explain the two-dimensional spectrum of global plant trait variation. Nature Ecology & Evolution 6:36-50.",https://doi.org/10.1038/s41559-021-01616-8,[Github](https://github.com/juliajoswig/ Repo_ClimateSoil_TraitSpectrum),[Github](https://github.com/juliajoswig/ Repo_ClimateSoil_TraitSpectrum),"3, 4",,,,,,,,,,,,,,,,,,,
4,2022,"Pan Y, et al. Contrasting responses of woody and grassland ecosystems to increased CO2 as water supply varies. Nature Ecology & Evolution 6:315-323.",https://doi.org/10.1038/s41559-021-01642-6,[USDA Research Data Archive](https://www.fs.usda.gov/rds/archive/catalog/RDS-2021-0093),,,,,,,,,,,,,,,,,,,,,
4,2022,"Liang J, et al. Co-limitation towards lower latitudes shapes global forest diversity gradients. Nature Ecology & Evolution 6, 1423-1437 ",https://doi.org/10.1038/s41559-022-01831-x,[Figshare](https://doi.org/10.6084/m9.figshare.17232491):&:(https://doi.org/10.6084/m9.figshare.17234339):&:(https://doi.org/10.6084/m9.figshare.19733449.v1):&:(https://doi.org/10.6084/m9.figshare.20055488),[Figshare](https://doi.org/10.6084/m9.figshare.17234729),5,,,,,,,,,,,,,,,,,,,
4,2025,"Dee LE, et al. Quantifying Disturbance Effects on Ecosystem Services in a Changing Climate. Nature Ecology & Evolution 9 (3): 436–47.",https://doi.org/10.1038/s41559-024-02626-y.,[Dryad](https://doi.org/10.5061/dryad.rn8pk0pp6),[Zenodo](https://zenodo.org/records/17167747),,,,,,,,,,,,,,,,,,,,
4,2020,Reich PB et al. Synergistic effects of four climate change drivers on terrestrial carbon cycling. Nature Geoscience 13:787-793.,https://doi.org/10.1038/s41561-020-00657-1,[Environmental Data Initiative data repository](https://go.nature.com/3843kVz):&:[EDI Data Portal](https://go.nature.com/38f8s9c),,,,,,,,,,,,,,,,,,,,,
4,2024,"Liang G, et al. Soil Respiration Response to Decade-Long Warming Modulated by Soil Moisture in a Boreal Forest. Nature Geoscience 17(9):905–11.",https://doi.org/10.1038/s41561-024-01512-3,[Figshare](https://doi.org/10.6084/m9.figshare.26488219.v1),[Figshare](https://doi.org/10.6084/m9.figshare.26488219.v1),,,,,,,,,,,,,,,,,,,,
3,2023,"Singh BK, et al. Climate change impacts on plant pathogens, food security and paths forward. Nature Reviews Microbiology 21:640–656.",https://doi.org/10.1038/s41579-023-00900-7,[Supplementary Data](https://doi.org/10.1038/s41579-023-00900-7),,,,,,,,,,,,,,,,,,,,,
4,2021,"Terrer C, et al. A trade-off between plant and soil carbon storage under elevated CO2. Nature 591: 599- 603.",https://doi.org/10.1038/s41586-021-03306-8,[Figshare](https://figshare.com/projects/Effects_of_elevated_CO2_on_soil_and_ecosystem_carbon_storage/74721):&:[GitHub](https://github.com/cesarterrer/SoilC_CO2):&:[FACE-MDS data](https://www.osti.gov/dataexplorer/biblio/dataset/1480327):&:[CMIP5 data](https://esgf-index1.ceda.ac.uk/search/cmip5-ceda/):&:[TRENDY data](http://dgvm.ceh.ac.uk/index.html),[GitHub](https://github.com/cesarterrer/SoilC_CO2),,,,,,,,,,,,,,,,,,,,
5,2021,"Migliavacca, et al. The three major axes of terrestrial ecosystem function. Nature 598:468-472.",https://doi.org/10.1038/s41586-021-03939-9,[FLUXNET](https://fluxnet.fluxdata.org/data/la-thuile-dataset/):&:[FLUXNET](https://fluxnet.fluxdata.org/data/fluxnet2015-dataset/):&:[Zenodo](https://doi.org/10.5281/zenodo.5153538):&:[Zenodo](https://doi.org/10.5281/zenodo.5153538),[Zenodo](https://doi.org/10.5281/zenodo.5153538) :&: [Zenodo](https://doi.org/10.5281/zenodo.5153534) :&: [Zenodo](https://doi.org/10.5281/zenodo.3921923),"3, 4",,,,,,,,,,,,,,,,,,,
4,2022,"Reich PB, et al. Even modest climate change may lead to major transitions in boreal forests. Nature 608, 540-545.",https://doi.org/10.1038/s41586-022-05076-3,[DRUM](https://conservancy.umn.edu/handle/11299/228100),,,,,,,,,,,,,,,,,,,,,
3,2023,"Delavaux C, et al. Native diversity buffers against severity of non-native tree invasions. Nature 621:773-781.",https://doi.org/10.1038/s41586-023-06440-7,,[Github](https://github.com/thomaslauber/Global-Tree-Invasion),,,,,,,,,,,,,,,,,,,,
4,2024,"Reich PB, et al. High CO2 Dampens Then Amplifies N-Induced Diversity Loss over 24 Years. Nature 635 (8038): 370–75.",https://doi.org/10.1038/s41586-024-08066-9,[EDI](https://doi.org/10.6073/pasta/bc1e3e405c7d49e3880ca626e54425fa),[EDI](https://doi.org/10.6073/pasta/bc1e3e405c7d49e3880ca626e54425fa),,,,,,,,,,,,,,,,,,,,
5,2021,Pinto-Ledezma JN et al. Predicting species distributions and community composition using satellite remote sensing predictors. Scientific Reports 11:16448.,https://doi.org/10.1038/s41598-021-96047-7,[CHIRPS](https://www.chc.ucsb.edu/data/chirps):&:[EarthData -MOD11C3](https://lpdaac.usgs.gov/products/mod11c3v006/):&:[Predicted oak species models](https://doi.org/10.5281/zenodo.4611525),[Github](https://github.com/jesusNPL/BayesianSDMs_Oaks),,,,,,,,,,,,,,,,,,,,
3,2024,"Strauss AT, et al. The Effect of Diversity on Disease Reverses from Dilution to Amplification in a 22-Year Biodiversity × N × CO2 Experiment. Scientific Reports 14 (1): 10938.",https://doi.org/10.1038/s41598-024-60725-z,[Dryad](https://doi.org/10.5061/dryad.rfj6q57n1),,,,,,,,,,,,,,,,,,,,,
4,2021,"Chen X, et al. Negative to positive shifts in diversity effects on soil nitrogen over time. Nature Sustainability 4:225-232.",https://doi.org/10.1038/s41893-020-00641-y,[Figshare](https://doi.org/10.6084/m9.figshare.11400552),[Figshare](https://doi.org/10.6084/m9.figshare.11400552),,,,,,,,,,,,,,,,,,,,
5,2024,"Gerber JS, et al. Global spatially explicit yield gap time trends reveal regions at risk of future crop yield stagnation. Nature Food 5, 125-135.",https://doi.org/10.1038/s43016-023-00913-8,[Zenodo](https://zenodo.org/records/10234041),[Zenodo](https://zenodo.org/records/10234041),,,,,,,,,,,,,,,,,,,,
5,2024,"Gerber JS, et al. Global spatially explicit yield gap time trends reveal regions at risk of future crop yield stagnation. Nature Food 5, 125–135 (2024).",https://doi.org/10.1038/s43016-023-00913-8,[Zenodo](https://zenodo.org/records/10234041),[Zenodo](https://zenodo.org/records/10234041),,,,,,,,,,,,,,,,,,,,
3,2026,"Liu X, et al. Ecological insights from three decades of forest diversity experiments. Nature Reviews Biodiversity, 2:9-23.",https://doi.org/10.1038/s44358-025-00112-2,,[Code in Supplementary Data](https://www.nature.com/articles/s44358-025-00112-2),,,,,,,,,,,,,,,,,,,,
4,2020,"Gao Q, et al. Stimulation of soil respiration by elevated CO2 is enhanced under nitrogen limitation in a decade-long grassland study. Proceedings of National Academy of Sciences 117 (52) 33317-33324.",https://doi.org/10.1073/pnas.200278011,[NCBI](https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98512),,,,,,,,,,,,,,,,,,,,,
4,2021,"Pastore MA, et al. Plant species richness increased total ecosystem carbon pools more than elevated CO2 or soil nitrogen addition over 19 years. Proceedings of National Academy of Sciences 118: e2016965118.",https://doi.org/10.1073/pnas.2016965118,[Soil % C/N](http://dx.doi.org/10.6073/pasta/8fe02cded3d5d2979e4596d465b0e470)  :&: [C flux](http://dx.doi.org/10.6073/pasta/7378dc1bf52efbcd45dbf9741c925081):&:[Plant C/N](http://dx.doi.org/10.6073/pasta/4922002b6bc68b8947bf9f8f6905516f):&:[Biomass](http://dx.doi.org/10.6073/pasta/8524be9f00b40a9e71b73a8ba2dc9ed0):&:[Root C/N](http://dx.doi.org/10.6073/pasta/cfc4c93aee56a6d8bb60b5fb206cca0d):&:[Biomass](http://dx.doi.org/10.6073/pasta/c00662959002e588597bd77e0c7dbdbb):&:[Ingrowth biomass](http://dx.doi.org/10.6073/pasta/d307637c4582713659a27cbd209a1d78):&:[Fire biomass loss](http://dx.doi.org/10.6073/pasta/7cf202d217f7a959e9c08ad29d43f758),,,,,,,,,,,,,,,,,,,,,
5,2022,"Gatti RC, et al. The number of tree species on Earth. Proceedings of National Academy of Sciences 119:e2115329119.",https://doi.org/10.1073/pnas.2115329119,[GFBI](https://gfbinitiative.net/data/),,,,,,,,,,,,,,,,,,,,,
3,2023,"Fernandez CW, et al. Climate change-induced stress disrupts ectomycorrhizal interaction networks at the boreal-temperate ecotone. Proceedings of National Academy of Sciences 120 (34) e2221619120.",https://doi.org/10.1073/pnas.2221619120,[NCBI](https://www.ncbi.nlm.nih.gov/bioproject?term=PRJNA561610):&:[PNAS](http://www.pnas.org/lookup/doi/10.1073/pnas.2221619120#supplementary-materials),,,,,,,,,,,,,,,,,,,,,
